GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_80
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_81
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_82
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_83
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_84
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_85
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_86
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_87
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_88
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_89
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_90
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_91
