GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_48
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_49
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_50
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_51
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_52
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_53
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_54
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_55
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_56
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_57
13.5,5.83,28,0.01,1.79e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 23510.2, 'Total': 32571.26}",ConvNeXt_58
